Menu,Category,괄호
간장게장특선,한식,['(ganjang gejang teukseon)']
곰소젓갈,한식,['()']
꿀떡,한식,['(kkultteok)']
꽁보리떡,한식,['(kkongbori tteok)']
감자떡,한식,['(gamja tteok)']
감자송편,한식,['(gamja songpyeon)']
깨찰호떡,한식,['(kkae chal hotteok)']
꿀호떡,한식,['(kkul hotteok)']
경단,한식,['(gyeongdan)']
고깔떡,한식,['(gokkaltteok)']
광양기정떡,한식,['(Gwangyang gijeongtteok)']
기정떡,한식,['(gijeongtteok)']
꼬떡,한식,['(kkotteok)']
가래떡,한식,['(garaetteok)']
김치빈대떡,한식,['(kimchi bindaetteok)']
고구마다식,한식,['(goguma dasik)']
강정,한식,['(gangjeong)']
까만콩엿,한식,['(kkamankong yeot)']
계피약과,한식,['(gyepi yakgwa)']
감말랭이,한식,['(gam mallaengi)']
곤드레메밀전병,한식,['(gondeure memil jeonbyeong)']
경단(깨)),한식,['(gyeongdan (kkae)']
경단(콩)),한식,['(gyeongdan (kong)']
감자전병,한식,['(gamja jeonbyeong)']
거피편,한식,['(geopi pyeon)']
강된장보리밥정식,한식,['(gangdoenjang boribap jeongsik)']
강릉초당순두부백반,한식,['(Gangneung Chodang sundubu baekban)']
고등어무조림정식,한식,['(godeungeo mu jorim jeongsik)']
계림정식,한식,['(Gyerim jeongsik)']
금은화상차림(채식)),한식,['(Geumeunhwa sangcharim (chaesik)']
경주 최부자 반가 한정식,한식,['(Gyeongju Choebuja banga Hanjeongsik)']
간고등어정식,한식,['(gangodeungeo jeongsik)']
곰소팔도맛집,한식,['(gomso paldo matjip)']
궁중한정식,한식,['(gungjung Hanjeongsik)']
게장정식,한식,['(gejang jeongsik)']
간장게장정식,한식,['(ganjang gejang jeongsik)']
꽃게장정식,한식,['(kkotgejang jeongsik)']
궁중불고기정식,한식,['(gungjung bulgogi jeongsik)']
고등어구이정식,한식,['(godeungeo gui jeongsik)']
고등어조림정식,한식,['(godeungeo jorim jeongsik)']
국수정식,한식,['(guksu jeongsik)']
굴찜정식,한식,['(gul jjim jeongsik)']
꽁치구이정식,한식,['(kkongchi gui jeongsik)']
갈치조림정식,한식,['(galchi jorim jeongsik)']
굴국밥정식,한식,['(gul gukbap jeongsik)']
강된장정식,한식,['(gangdoenjang jeongsik)']
김치찌개백반,한식,['(kimchi jjigae baekban)']
고등어생선구이백반,한식,['(godeungeo saengseon gui baekban)']
굴비생선구이백반,한식,['(gulbi saengseon gui baekban)']
꽁치생선구이백반,한식,['(kkongchi saengseon gui baekban)']
갈치조림백반,한식,['(galchi jorim baekban)']
간고등어백반,한식,['(gan godeungeo baekban)']
굴비백반,한식,['(gulbi baekban)']
간장게장백반,한식,['(ganjang gejang baekban)']
굴젓갈백반,한식,['(gul jeotgal baekban)']
고등어보쌈,한식,['(godeungeo bossam)']
굴보쌈,한식,['(gul bossam)']
김치보쌈,한식,['(kimchi bossam)']
깻잎두부보쌈,한식,['(kkaennip dubu bossam)']
개성순대제육보쌈,한식,['(Gaeseong sundae jeyuk bossam)']
꽃쌈밥,한식,['(kkot ssambap)']
궁중요리,한식,['(gungjung yori)']
갈비찜정식,한식,['(galbi jjim jeongsik)']
고추장숯불고기정식,한식,['(gochujang sutbulgogi jeongsik)']
고기국수와빙떡,한식,['(gogi guksu wa bingtteok)']
간장보쌈,한식,['(ganjang bossam)']
게장백반,한식,['(gejang baekban)']
고기드시는분 상차림),한식,"['(1인)', '(gogi deusineun bun  sangcharim (il in)']"
국내산 굴비정식,한식,['(gungnaesan gulbi jeongsik)']
굴비정식,한식,['(gulbi jeongsik)']
광영정,한식,['()']
금목서,한식,['()']
곤드레돌솥밥정식,한식,['(gondeure dolsotbap jeongsik)']
곤드레밥찌개백반,한식,['(gondeure bap jjigae baekban)']
간장꽃게장․알밥,한식,"['(ganjang kkotge jang, albap)']"
갈비정식,한식,['(galbi jeongsik)']
"갈치정식(조림,부침))",한식,"['(galchi jeongsik (jorim, buchim)']"
가리비찜백반,한식,['(garibijjim baekban)']
가마솥곤드레밥정식,한식,['(gamasot gondeure bap jeongsik)']
가마솥정식,한식,['(gamasot jeongsik)']
간장게장쌈밥,한식,['(ganjang gejang ssambap)']
꼬리찜정식,한식,['(kkori jjim jeongsik)']
꽃돌게장정식,한식,['(kkotdolge jang jeongsik)']
굴밥정식,한식,['(gul bap jeongsik)']
곤드레불고기정식,한식,['(gondeure bulgogi jeongsik)']
곰취영양정식,한식,['(gomchwi yeongyang jeongsik)']
곤드레나물돌솥밥정식,한식,['(gondeure namul dolsotbap jeongsik)']
